Sl. No.,Name of District,Name of Police Station,Name of Landmark,Name of Location,Lattitude,Longitude,Name of Road,HOSPITAL NEAR LATITUDE,HOSPITAL NEAR LONGITUDE,Accident Severity Index,Type of Road,Number of Fatalities,Sum of Fatal & Grievous Injury Crashes
32,Pathanamthitta,THIRUVALLA,110m after HP Petrol Pump - CSI Church,Thukalassery,9.376054895,76.57706551,National Highway 183 (NH 183),9.377776672,76.57615959,193,NH,4,59
33,Kozhikode,Traffic City,80m before Arayidathu Palam - Sowbhagya Shopping Complex,Arayidathupalam Junction,11.2584255,75.795472,Mavoor road,11.25981086,75.7925346,191,OR,8,57
34,Thiruvananthapuram,Attingal,Axis Bank - Attingal Municipal Service Sahakarana Bank,Alamcode Junction,8.72040581,76.81264912,National Highway 66 (NH 66),8.736777761,76.80882872,191,NH,8,53
35,Kollam,Kollam East PS,State Bank of India - Xavier's Residency,Prathibha Junction,8.896410917,76.60874529,National Highway 744 (NH 744),8.893929874,76.60613882,190,NH,4,58
36,Alappuzha,Kayamkulam,"Indus Motors,Kottukulangara - Masjid AlTaqwa",Kottukulangara,9.195343487,76.48586225,National Highway 66 (NH 66),9.19199653,76.50037711,190,NH,7,54
37,Alappuzha,Harippad,SBI Harippad - 190m after Harippad Highway Junction,Harippad Junction,9.2780698,76.4424457,National Highway 66 (NH 66),9.283648865,76.44273694,189,NH,12,47
38,Thiruvananthapuram,KALLAMBALAM,75m after ICICI Bank - Kallambalam Police Station,Kallambalam Junction,8.758918468,76.79290731,National Highway 66 (NH 66),8.763471233,76.79215765,188,NH,8,52
39,Thrissur,KORATTI,St Marys Hospital- 210mts before Koratty Police Station,Koratty Junction,10.26754247,76.35011508,National Highway 544 (NH - 544),10.26182311,76.35257226,184,NH,8,52
40,Thiruvananthapuram,City Traffic,BSNL RTTC - 50m before Pappanamcode Mosque,Kaimanam,8.472557192,76.97817118,National Highway 66 (NH 66),8.724519532,77.03019033,183,NH,3,57
41,Kollam,Kottiyam PS,Dhanya Supermarket - State Bank of India,Kottiyam Junction,8.866276515,76.66812651,National Highway 66 (NH 66),8.862068203,76.67333831,182,NH,5,54
42,Ernakulam,CITY TRAFFIC EAST,Hotel New Regency - D'Life Vyttila,Vyttila Junction,9.970752105,76.31784517,National Highway 66 (NH 66),9.968282893,76.31551752,182,NH,9,50
43,Alappuzha,Cherthala,70m after NEXA Cherthala - 100m before St Marys School Road Junction,"Pullattuvadakkeveli, Cherthala",9.684399706,76.3328574,National Highway 66 (NH 66),9.683469062,76.33835541,181,NH,4,55
44,Kollam,OCHIRA,Sarada Devi Temple - Sree Mahadeva Saw Mill,Changankulangara,9.111546123,76.51922281,National Highway 66 (NH 66),9.109663742,76.51784758,181,NH,11,47
45,Thrissur,KUNNAMKULAM,Samsung Furniture Mart - Kunnamkulam Police Station,Kunnamkulam Junction,10.65048126,76.06975066,Thrissur - Kuttipuram Road (SH - 6,10.64842612,76.06615633,181,SH,11,47
46,Thiruvananthapuram,CITY TRAFFIC,250m before and after Pallichal Junction,Pallichal,8.446438379,77.01436484,National Highway 66 (NH 66),8.449993291,77.00939999,178,NH,6,50
47,Alappuzha,Pattanakkadu,Pattanakad Grama Panchayath Office - SCUGVHSS Pattanakad,"Mahadeva Temple, Pattanakad",9.732307168,76.31863282,National Highway 66 (NH 66),9.732235953,76.32862313,178,NH,11,46
48,Kollam,Chavara PS,Puthenthura Bakery Junction - 90m before Regency Lake Palace,Altharamoodu Junction,8.957987375,76.5330374,National Highway 66 (NH 66),8.976976032,76.53474109,177,NH,12,43
49,Kottayam,ETTUMANOOR,Village Office Ettumanoor - Bus Station Entry,Ettumanoor,9.671459013,76.55819485,Main Central Road (SH 1),9.670870617,76.55690403,176,SH,5,52
50,Pathanamthitta,ADOOR,Central Junction - 85m after A G Town Hall,"Central Junction, Adoor",9.150929676,76.73475555,Main Central Road (SH 1),9.162654714,76.72798782,174,SH,3,54
51,Ernakulam,AIRPORT,St.George Jacobite Syrian Chapel- Airport Jn,Athani Junction,10.15681239,76.35495184,National Highway 544 (NH - 544),10.15959293,76.35621163,173,NH,5,51
52,Alappuzha,Kayamkulam,100m before TEXMO Home Applainces - NCS TATA Motors Kayamkulam,Highway Palace Kayamkulam,9.165987255,76.50170344,National Highway 66 (NH 66),9.179359098,76.49814605,173,NH,8,47
53,Kollam,Chavara PS,Hima Hotel - Neeendakara Bridge,Neendakara Junction,8.938705101,76.54391941,National Highway 66 (NH 66),8.978606755,76.56164348,173,NH,8,47
54,Thiruvananthapuram,BALARAMAPURAM,"Poonkodu Mulluvila Sree Bhadrakali Temple - 50m after Mahindra First Choice
Wheels Ltd",Vedivechancoil,8.428493839,77.03662637,National Highway 66 (NH 66),8.437390777,77.02213895,172,NH,4,52
55,Alappuzha,Mararikkulam,50m after Sacred Heart Church - Mayithara Market,Mayithara,9.653424447,76.33719312,National Highway 66 (NH 66),9.66287581,76.33865392,172,NH,8,48
56,Thiruvananthapuram,City Traffic,"170m before Kulathoor NH BypassJunction - 100m after South Indian Bank, NH
Bypass Kulathoor",Kulathoor NH Bypass Junction,8.544244198,76.87711399,NH 66 Bypass Road,8.530004898,76.9278005,171,NH,6,49
57,Alappuzha,Kareelakulangara,Sree Dharma Sastha Temple - 120m after Ramapuram Junction,Ramapuram Junction,9.222089054,76.47739439,National Highway 66 (NH 66),9.210553037,76.48205576,171,NH,13,41
58,Thiruvananthapuram,ATTINGAL,"South Indian Bank - Kerala Gramin Bank, Attingal",Attingal,8.69356898,76.81996578,National Highway 66 (NH 66),8.694545927,76.8121122,170,NH,5,50
59,Alappuzha,Mararikkulam,"Mararikulam North Panchayat Office - 50m after S L Puram Cooperative
Bank,Kanjikuzhy",Mararikulam,9.607077018,76.32926108,National Highway 66 (NH 66),9.603665629,76.32082177,168,NH,3,52
60,Thrissur,THRISSUR TRAFFIC PS,70m after HDFC Bank - 90m after Dhanalaxmi Bank ATM,Punkunnam Junction,10.53715714,76.19862688,Thrissur - Kuttipuram Road (SH - 6,10.54809116,76.21497821,167,SH,6,49
61,Pathanamthitta,THIRUVALLA,140m Deepa Junction- 50m after Malabar Gold andDiamonds,Deepa Junction,9.491509728,76.33859937,National Highway 183 (NH 183),9.491281375,76.3377478,167,NH,5,49
62,Thiruvananthapuram,City Traffic,Muslim Jamaath - State Bank of India Kallampally,Sreekaryam,8.548357666,76.9202117,National Highway 66 (NH 66),8.56465711,76.91441091,166,NH,4,50
63,Thrissur,Thrissur Town East,Swaraj Round North Junction - Vadakke Bus Stand,Cochin Dewaswam Boad Junction,10.5275895,76.21457413,Kodungalloor - Shornur Road (SH,10.53018954,76.21198809,165,SH,3,51
64,Kollam,Parippally PS,50m after Ruby Arabian Food Court - Prince Auditorium,Paripally,8.819027237,76.75437504,National Highway 66 (NH 66),8.840519652,76.74455064,164,NH,9,44
65,Alappuzha,Vallikunnam,50m before South Indian Bank - IPC Bethel Church,Kattanam,9.176394747,76.56408267,Kayamkulam - Pathanapuram (SH,9.182394498,76.57573633,162,SH,3,50
66,Thrissur,Pudukkad,Plaza,Paliyekara,9.430925509,76.69477162,National Highway 544 (NH - 544),9.43861642,76.57707365,162,NH,3,50
67,Thiruvananthapuram,City Traffic,School,Valiyathura,9.005632616,76.53607002,Valiyathura - Muttathara Road,9.047184215,76.608594,162,OR,3,50
68,Alappuzha,Punnapra,Punnapra North Post Office - Punnapra Brethren Assembly Church,Paravoor Junction,9.45779094,76.34421961,National Highway 66 (NH 66),9.463358856,76.33079381,161,NH,9,43
69,Kottayam,Gandhinagar,70m after District Sports Council Office - District Homeo Hospital,Nagampadam,9.596873295,76.52489094,Main Central Road (SH 1),9.598619459,76.52814521,161,SH,11,39
70,Palakkad,VADAKKENCHERRY,130m after Gayathry Fuels Petrol Pump - 140m after Mangalam Bridge,Mangalam Palam,9.59276171,76.52201535,National Highway 544 (NH - 544),9.591542835,76.52210374,161,NH,11,39
71,Kollam,CHAVARA,60m after SBI ATM - 50m after Post Office Chavara Bridge,Chavara,8.974392393,76.53492522,National Highway 66 (NH 66),8.976753682,76.53469974,159,NH,7,45
72,Thiruvananthapuram,CITY TRAFFIC,50m before Govt HS Vazhamuttam - Thuppanathu Kavu Devi Temple,Vazhamuttam,9.232930771,76.77940103,National Highway 66 Bypass (NH 6,9.236485948,76.75810933,158,NH,5,46
73,Pathanamthitta,PATHANAMTHITTA,"140m before IOC Pump - 70m before Federal Bank, Kumbazha",Kumbazha,9.263682326,76.80645331,State Highway 8,9.266748747,76.80694543,157,SH,4,47
74,Alappuzha,HARIPPAD,K V Jetty Junction- 50m before Puthenpurayil Fm Tyre Haripad,"Kumarapuram, Thamallackal",9.289205891,76.43746449,National Highway 66 (NH 66),9.284692586,76.43879662,157,NH,10,39
75,Kottayam,KURAVILANGADU,180m before Thottuva Junction - 240m after Bharath Timbers,Thottuva,9.755745915,76.54539328,Kuruvilangad Kuruppunthara Road,9.733905616,76.50506113,156,OR,3,48
76,Kollam,Kottiyam PS,Pattathil Road Junction - Overseas Honda,Mylakkad,8.863655274,76.69072052,National Highway 66 (NH 66),8.864560154,76.68148302,156,NH,6,44
77,Kollam,KARUNAGAPPALLY,"50m before Puthiyakavu Junction - 80m after Sheikh Masjid, Puthiyakavu",Puthiyakavu Junction,9.075258013,76.53306369,National Highway 66 (NH 66),9.077709917,76.53224346,156,NH,6,44
78,Kottayam,CHINGAVANAM,Kerala State Beverages Corporation Ltd - 150m after Axis Bank ATM,Kodimatha,9.588588341,76.52972741,National Highway 183 (NH 183),9.589438078,76.52644902,156,NH,6,44
