Sl. No.,Name of District,Name of Police Station,Name of Landmark,Name of Location,Lattitude,Longitude,Name of Road,HOSPITAL NEAR LATITUDE,HOSPITAL NEAR LONGITUDE,Accident Severity Index,Type of Road,Number of Fatalities,Sum of Fatal & Grievous Injury Crashes
137,Ernakulam,Kalamassery,"St Mary's Church - Nest, CUSAT Junction",TVS Junction,10.12202856,76.33607453,National Highway 544 (NH - 544),10.12964202,76.34398381,131,NH,5,37
138,Thiruvananthapuram,City Traffic,180m before Thiruvallom Junction - Maruti Suzuki True Value,Thiruvallom Junction,8.440755698,76.95544442,National Highway 66 Bypass (NH 6,8.442484538,76.95744622,130,NH,5,38
139,Thiruvananthapuram,CITY TRAFFIC,NHAI RO Kerala - 80m after Pettah Junction,Pettah Junction,8.492034045,76.92274337,Palayam Airport road,8.48804426,76.92659769,130,OR,7,34
140,Kozhikode,TRAFFIC STATION,Rajaji Rd Jn -Stadium Junction,Moffusil Bus Stand,11.25897151,75.79131901,Rajaji road,11.25990302,75.79217357,129,OR,3,39
141,Thiruvananthapuram,Kazhakkuttom,AJ Hospital Junction - Canara Bank,Kazhakuttom Junction,8.569846674,76.87215704,National Highway 66 (NH 66),8.57677685,76.86835986,129,NH,3,39
142,Alappuzha,KUTHIYATHODE,Kelamkulangara Bhagavathi Temple - Upasana Auditorium,Kuthiathode,9.795913353,76.31598892,National Highway 66 (NH 66),9.771056907,76.31781818,129,NH,6,35
143,Kozhikode,Vatakara,Marble Mahal - Arya Bhavan Hotel,Narayana Nagar,11.18297068,75.83730108,National Highway 66 (NH 66),11.18899574,75.82937046,128,NH,2,40
144,Thiruvananthapuram,CITY TRAFFIC,50m after Ananthapuri Hospital - Hotel Pallava Rajadhani,Chakka,8.492017671,76.92281304,National Highway 66 Bypass (NH 6,8.487995276,76.92711346,128,NH,2,40
145,Ernakulam,ALUVA,Pulinchuvadu Metro Station - Forest Industries Ltd,Companypadi Junction,10.09562528,76.34656432,National Highway 544 (NH - 544),10.10076844,76.34727186,128,NH,5,36
146,Kollam,PARIPPALLY,Mukkada Junction - Highway Motors,Mukkada Junction,8.812408299,76.75895504,National Highway 66 (NH 66),8.827452491,76.81470052,128,NH,8,32
147,Kollam,OCHIRA,Hotel Royal Regency - IOC Pump,Oachira Junction,9.126739969,76.5165327,National Highway 66 (NH 66),9.110759435,76.51682765,127,NH,4,37
148,Ernakulam,CITY TRAFFIC EAST,Olive Furniture - Hotel Highway Garden,Oberon Mall,10.01079992,76.31190659,National Highway 66 (NH 66),10.00882671,76.30302403,127,NH,4,37
149,Thiruvananthapuram,CITY TRAFFIC,Sree Balakrishna Swamy Temple - Paruthikuzhy Junction,Paruthikuzhy Junction,8.480100831,76.93397619,National Highway 66 Bypass (NH 6,8.487717127,76.92716368,127,NH,4,37
150,Thiruvananthapuram,KALLAMBALAM,250m before and after 28th mile,28th Mile,8.775537569,76.78581616,National Highway 66 (NH 66),8.765853322,76.79484006,126,NH,3,38
151,Thrissur,Kodungallur,Kodungallur Municipal Townhall - Kodungalloor Islahi Masjid,Chandapura Signal Junction,10.2329366,76.19498545,National Highway 66 (NH 66),10.23324049,76.19395637,126,NH,3,38
152,Wayanad,Sulthan Batheri,Ganapathy Temple Jn - 120m before Chungam Junction,Temple Jn,11.66412614,76.26244884,National Highway 766 (NH 766),11.66583908,76.26238872,126,NH,3,38
153,Ernakulam,CITY TRAFFIC EAST,70m after SBI - 270m before Geetanjali Junction,Chakkaraparambu Junction,9.981621065,76.31669589,National Highway 66 (NH 66),9.986026414,76.30456551,126,NH,3,38
154,Ernakulam,CITY TRAFFIC EAST,Edapally Toll Junction - 50m after Indian Oil Petrol Pump,Edapally Toll Junction,10.01256782,76.3027616,National Highway 544 (NH - 544),10.02220414,76.30427324,126,NH,3,38
155,Thiruvananthapuram,Kazhakkuttom,60m before Hero Motors - AJ Hospital Junction,AJ Hospital Junction,8.568564831,76.87297766,National Highway 66 (NH 66),8.576417369,76.86780393,126,NH,3,38
156,Ernakulam,KALADI,150m before Hotel Kadambari - 140m before Parackal Timber Trust,Marottichuvadu,10.17592126,76.42250787,Main Central Road (SH 1),10.16905215,76.43535843,126,SH,7,34
157,Malappuram,VALANCHERRY,Kerala Gramin Bank - Syndicate Bank ATM,Valanchery Junction,10.91901594,75.92739151,National Highway 66 (NH 66),10.92076047,75.92702331,124,NH,6,36
158,Kottayam,Traffic Kottayam,Junction,Logos Junction,9.591637408,76.53201673,Railway station road,9.594577314,76.52955873,124,OR,4,36
159,Kollam,Parippally PS,"180m before Nadakkal Service Coop Bank - 75m after Kalluvathukal Grama
Panchayath Office",Kalluvathukkal Junction,8.832642209,76.74532832,National Highway 66 (NH 66),8.831924279,76.74722797,124,NH,7,32
160,Thiruvananthapuram,CITY TRAFFIC,SBI - Bridge near Infosys,Infosys,8.533618347,76.88223707,National Highway 66 Bypass (NH 6,8.541004783,76.87852492,123,NH,0,41
161,Thrissur,Traffic Thrissur,Marar Road Junction - Chettiyangadi Junction,Kurupam Road Junction,10.53534708,76.21507002,Kodungalloor - Shornur Road (SH,10.53493465,76.21404822,123,SH,3,37
162,Thrissur,PERAMANGALAM,Mundur Service Co-Operative Bank - 50m before Federal Bank,Mundur Junction,10.59324443,76.15329681,Thrissur - Kuttipuram Road (SH - 6,10.61973273,76.10192595,123,SH,3,37
163,Ernakulam,CITY TRAFFIC EAST,Sri Muruga Saravana Bhavan - 70m after D.T.D.C.,Kunnumpuram Junction,10.04328224,76.29889766,National Highway 66 (NH 66),10.03512347,76.29315253,122,NH,2,38
164,Kollam,Chathannoor PS,70m before Arunodhayam Auditorium - 50m after Federal Bank ATM,Chathanoor Junction,8.863499295,76.71514939,National Highway 66 (NH 66),8.861309441,76.72268855,121,NH,9,31
165,Kollam,PUNALUR,BP Fuel Station - Kumar Palace Road Jn,"TB Jn, Punalur",9.018393885,76.92839727,National Highway 744 (NH 744),9.018830742,76.92723959,121,NH,7,31
166,Kottayam,Kuravilangadu,School,Kuravilangad,9.757707894,76.56098179,Main Central Road (SH 1),9.758610047,76.56313888,120,SH,5,36
167,Ernakulam,Perumbavoor,Iringole Post Office - St. Thomas Church,"RTO Office, Iringole",10.11491294,76.47781933,State Highway 16 (SH 16),10.11087529,76.47556081,120,SH,3,36
168,Kollam,Killikollur,Catholic Syrian Bank - 140m after KJ Hospital,Moonam kutti,8.885199323,76.58634414,National Highway 744 (NH 744),8.889448858,76.58596624,120,NH,3,36
169,Thiruvananthapuram,City Traffic,"Vettukad Church - St. Mary's Church, Cheruvettukad",Vettukad,8.89073115,76.60607251,Veli - Shankhumugham road,8.888973821,76.59674477,120,OR,3,36
170,Thrissur,PERAMANGALAM,"130m after Cheerakuzhy Subramania Temple - Adat Farmers Service Co
Operative Bank",Amala Nagar,10.56351645,76.16766892,Thrissur - Kuttipuram Road (SH - 6,10.57007652,76.16415577,120,SH,8,32
171,Kozhikode,TRAFFIC STATION,"KSEB Electrical Section, Pottammal- Abeer Medical Center",Pottamal Junction,11.26492044,75.81129859,Mavoor Road,11.2707091,75.80886441,120,OR,6,32
172,Kollam,KOTTIYAM,80m before HM Shopping Mall - 210m after Kannanalloor Junction,Kannanalloor,8.893999181,76.6810176,Kollam - Ayoor road,8.9024472,76.6823147,119,OR,2,37
173,Kozhikode,TRAFFIC STATION,Mango Hypermarket - Salafi Masjid,Mankavu Junction,11.23323292,75.80340242,Mini Bypass road,11.23763013,75.80648025,119,SH,2,37
174,Kozhikode,TRAFFIC STATION,Kunnamangalam UP School - Daymart Supermarket,Kunnamangalam,11.30644352,75.87897972,National Highway 766 (NH 766),11.30969174,75.88135708,119,NH,2,37
175,Thiruvananthapuram,CITY TRAFFIC,250m before and after Petrol Pump,Thiruvallam Bridge Approach,8.439251281,76.95665406,National Highway 66 Bypass (NH 6,8.454743491,76.95126932,119,NH,2,37
176,Kozhikode,TRAFFIC STATION,YMCA Cross Road Junction - Kozhikode District Co Operative Bank,Mavoor Road Junction,11.24684672,75.7845608,National Highway 766 (NH 766),11.24707557,75.7847648,119,NH,5,33
177,Thiruvananthapuram,Kazhakkuttom,TRINS PreSchool - Technopark MainGate,Technopark Junction,8.56530678,76.87517007,National Highway 66 Bypass (NH 6,8.569293419,76.87272176,119,NH,5,33
178,Kottayam,TRAFFIC PS KOTTAYA,Seematti Roundabout - Dhanya Remya Theatre,Mahatma Gandhi Square,9.588367562,76.52145307,National Highway 183 (NH 183),9.58968653,76.51953615,118,NH,1,38
179,Kollam,KILIKOLLOOR,Killikollur Railway Station -70m after Kairali Ford,Killikollur Junction,8.91543057,76.63156227,National Highway 744 (NH 744),8.911025212,76.62594326,118,NH,4,34
180,Thiruvananthapuram,Venjarammood,Alanthara Petrol Pump - Indian Coffee House,"Gokulam Medical College
Junction, Alanthara",8.694586365,76.90593561,Main Central Road (SH 1),8.664799627,76.91219901,118,SH,4,34
181,Ernakulam,CITY TRAFFIC WEST,50m before St Thomas More Roman Catholic Latin Church - Janatha Junction,Kumbalangi,9.968601386,76.31765008,Aroor - Thoppumpady road,9.969790893,76.29939106,118,SH,4,34
182,Alappuzha,Kuthiathode PS,"Pattukulangara Devi Temple - Indian Coffee House, Thuravoor",Thuravoor,9.552369075,76.32747115,National Highway 66 (NH 66),9.566323739,76.30995907,118,NH,8,30
183,Alappuzha,Punnapra,CSI Church - Carmel Road Junction,"Carmel College Of Engineering,
Aravukad",9.401086926,76.35180053,National Highway 66 (NH 66),9.410524208,76.35058129,118,NH,7,30
184,Ernakulam,North Parur,Bank of India ATM - 50m before Kairali Motors,Perumpadanna,10.14422707,76.22016981,Republic Road,10.14561997,76.22712815,117,OR,3,35
185,Thiruvananthapuram,Vattappara,85m after HP Fuel Station - 85m before Yamaha Showroom,Kanyakulangara Junction,8.629900644,76.93684769,Main Central Road (SH 1),8.636536652,76.93704309,117,SH,3,35
186,Thrissur,Thrissur Town West,Society,"Kalyan Nagar, Ayyanthole",10.52242154,76.202204,Thrissur - kanjani - Vadanapally Ro,10.52539433,76.20178064,117,SH,3,35
187,Thrissur,Irinjalakkuda,50 mts before Vellangallur Jn - Glamour Fuels Indian Oil,Vellangallur,10.30499808,76.21843254,Kodungalloor - Shornur Road (SH,10.33498565,76.21647247,117,SH,3,35
188,Alappuzha,Punnapra,"Assembly Road Junction - IOC Pump, Punnapra","Kappakada,Punnapra",9.444042497,76.34308839,National Highway 66 (NH 66),9.409711062,76.34945056,117,NH,6,31
189,Thrissur,KORATTI,Kerala Gramin Bank- 60ms before IOC pump,Chirangara,10.2528329,76.36737617,National Highway 544 (NH - 544),10.26337585,76.35172438,117,NH,6,31
190,Palakkad,Traffic Palakkad,220m before Kazchaparambu Junction - Dubai Motors,Kazchaparambu Junction,10.74023278,76.64847456,National Highway 544 (NH - 544),10.75764681,76.63813715,117,NH,14,23
191,Thrissur,Traffic Thrissur,District Medical Office - KFC,Ambakkaden Jn,10.52318214,76.2217096,Thrissur - Palghat Road,10.52315433,76.21688342,116,OR,2,36
192,Thiruvananthapuram,City Traffic,Karakkamandapam Junction - 100m before Indian Oil Petrol Pump,Karakkamandapam Junction,8.462795324,76.99257744,National Highway 66 (NH 66),8.451781575,77.00926845,116,NH,2,36
193,Thiruvananthapuram,CITY TRAFFIC,Poonthura Junction - SM Lock Junction,Poonthura Junction,8.480033255,76.93392945,Valiyathura - Beemapally - Poonth,8.485298602,76.94142342,116,OR,2,36
194,Ernakulam,MUVATTUPUZHA,40m after Karshika Sahakarana Bank - Nehru Junction,Velloorkunnu Signal Junction,10.02428468,76.30817079,National Highway 85 (NH 85),10.03071432,76.30488846,116,NH,5,32
195,Kottayam,KURAVILANGADU,100m after Vempally Post Office - Vempally Thekkekavala,Vempally,9.71214981,76.55782977,Main Central Road (SH 1),9.715199616,76.55888891,116,SH,5,32
196,Kozhikode,QUILANDY,Namdilath G Mart - Indian Oil Petrol Pump,Koyilandy Old Bus Stand Junction,11.44120339,75.6942468,National Highway 66 (NH 66),11.44497,75.69342111,116,NH,5,32
197,Thiruvananthapuram,Varkala,Indian Overseas Bank - Dhanya Supermarket,Varkala,8.729624188,76.73527206,State Highway 64,8.734836223,76.72817937,116,SH,8,28
198,Ernakulam,CITY TRAFFIC WEST,50m after Bridge - IG Office,High Court Signal Junction,9.984838717,76.27344784,Shanmugam road,9.983370594,76.28338892,115,OR,1,37
199,Kollam,Shakthikulangara P S,40m after Kaloor Bhagavathy Temple - Ramankulangara Junction,Ramankulangara,8.921028991,76.55868425,National Highway 66 (NH 66),8.923632635,76.55742336,115,NH,4,33
200,Kozhikode,TRAFFIC STATION,BSNL Exchange Feroke - AM Motors,"Chungam Junction, Feroke",11.18922238,75.82966522,National Highway 66 (NH 66),11.18019013,75.8274377,115,NH,7,29
201,Thrissur,KUNNAMKULAM,"Post Office, Kadavalloor - 255m after Kallumpuram Junction",Kallumpuram,10.69933748,76.09166697,Thrissur - Kuttipuram Road (SH - 6,10.7055618,76.08944524,115,SH,1,17
202,Ernakulam,Aluva,Hotel Periyar - Market Junction,Aluva Junction,10.11084655,76.34909098,National Highway 544 (NH - 544),10.10722794,76.35017569,114,NH,4,34
203,Alappuzha,AROOR,"Primary Health Centre,Aroor - Keltron Road Jn","Temple Junction, Aroor",9.868692008,76.3049335,National Highway 66 (NH 66),9.87580338,76.30422707,114,NH,3,34
204,Kollam,Kottiyam PS,Salafi Masjid Mosque - 175m after Mubarak Plywood and Hardwares,Umayanalloor Junction,8.865198121,76.65433407,National Highway 66 (NH 66),8.866784883,76.65626462,114,NH,3,34
205,Ernakulam,Traffic East PS,Kannanthodath Lane Junction - Modern Food Enterprises,Changampuzha Junction,10.01416976,76.30229802,Palarivattom - Edapally Road,10.00982521,76.30294677,114,SH,3,34
206,Thrissur,VADANAPPILLY,80mts before St. Marys Church 10 th stone- Thalikkulam Village Office,Patham Kallu,10.45386177,76.08757109,National Highway 66 (NH 66),10.46139148,76.08476433,114,NH,10,30
207,Kollam,CHATHANNOOR,70m before Ithikkara Juma Masjid - 55m after Perfect Car Painting Shop (Curve),Ithikkara Junction,8.863377018,76.69731169,National Highway 66 (NH 66),8.866118,76.68073044,114,NH,7,30
208,Alappuzha,Harippad,110m after Hotel Saugandhika Residency - 50m before South Indian Bank ATM,Junction,9.270909404,76.46044865,National Highway 66 (NH 66),9.2623455,76.46416144,114,NH,6,30
209,Kottayam,CHINGAVANAM,Chingavanam Bretheren Church Road Junction - 90m before Canara Bank,"Manthiran kavala, Kurichy",9.50379377,76.52457079,National Highway 183 (NH 183),9.508193584,76.52649487,113,NH,2,35
210,Ernakulam,CITY TRAFFIC WEST,Pyari Junction - St. Mary's Syrian Church palluruthy,BOT Bridge Junction,9.931824651,76.26663747,Aroor - Thoppumpady road,9.930732111,76.27026171,113,SH,2,35
211,Alappuzha,Ambalapuzha,325m before and 125m after Sree Kuruttu Bhagavathy Temple,Thottappally Juma Masjid,9.328882337,76.37599286,National Highway 66 (NH 66),9.326198794,76.37777597,113,NH,5,31
212,Kozhikode,Koyilandy,120m after JB's Art Gallery - 140m after Vengalam Junction,Vengalam Highway Junction,11.37471863,75.73950028,National Highway 66 (NH 66),11.42187056,75.7248524,113,NH,11,23
213,Kollam,Kollam East PS,St Thomas Syrian Church - Christuraj School,Chemmanmukku,9.245587128,76.61439289,Kappalandimukku - Kadappakkada,9.244889797,76.6133553,112,OR,5,32
214,Ernakulam,CITY TRAFFIC EAST,Axis Bank and ATM - Federal Bank,Koonamthai,10.03455711,76.31358478,National Highway 544 (NH - 544),10.0396971,76.31555768,112,NH,5,32
215,Ernakulam,NORTH PARUR,St Antony's Church - 70m before Cheriyapally Bridge Approach,Cheriyapally Bridge,10.11664372,76.25793206,National Highway 66 (NH 66),10.11901235,76.25947474,112,NH,4,32
216,Pathanamthitta,THIRUVALLA,LP School - 200m after Hospital Road Junction,Aashupathrippadi,9.826288569,76.74015028,Thiruvalla - Mallappally Road (SH,9.835422726,76.74421515,112,SH,4,32
217,Thrissur,PERAMANGALAM,Co Operative Bank - 130m after Kerala Gramin Bank ATM,Kaiparambu Junction,10.60849282,76.13859383,Thrissur - Kunnamkulam Road (SH,10.62064409,76.09484033,112,SH,4,32
218,Thiruvananthapuram,CITY TRAFFIC,120m before Pananvila Junction - MG College Gate,Paruthippara Junction,8.53572054,76.94235988,Main Central Road (SH 1),8.524761172,76.92757838,112,SH,4,32
219,Ernakulam,Aluva,80m after IOCL - Ambattukavu Metro Station,Ambattukavu,10.0831282,76.34047323,National Highway 544 (NH - 544),10.1024447,76.34729652,112,NH,7,28
220,Ernakulam,Muvattupuzha,State Bank Of India - MS used cars Showroom,Peezhakapilly,9.990130735,76.57323897,Main Central Road (SH 1),9.99049009,76.57675871,112,SH,7,28
221,Thiruvananthapuram,Medical College,130m after IDBI Bank - Ideal Home Appliances,Ulloor Junction,8.530684378,76.92883815,National Highway 66 (NH 66),8.52978521,76.92994348,111,NH,3,33
222,Ernakulam,CITY TRAFFIC EAST,Avenue Junction - 100m before BSNL Exchange,"SN Junction, Thrippunithura",9.95451611,76.34528792,National Highway 85 (NH 85),9.955357867,76.34477278,111,NH,8,29
223,Alappuzha,Punnapra,140m after Reliance - 90m after Chinmaya,Thookkukulam,9.463601007,76.33951474,National Highway 66 (NH 66),9.478656036,76.34427582,111,NH,7,29
224,Pathanamthitta,PANDALAM,Kanyaka Silk - Indian Oil Petrol Pump,Pandalam Junction,9.224594219,76.67857572,Main Central Road (SH 1),9.22643559,76.67835181,111,SH,7,29
225,Kollam,Kottarakkara PS,120m after Indian Oil Petrol Pump - Rajani School,Kalayapuram,9.055544596,76.76934925,Main Central Road (SH 1),9.078393128,76.799637,111,SH,6,29
226,Kozhikode,TRAFFIC STATION,300m before Feroke Police Station( Towards Bridge) - Feroke Post Office,Pettah Feroke,11.18307479,75.83699916,National Highway 66 (NH 66),11.18793902,75.8299705,111,NH,6,29
227,Thiruvananthapuram,CITY TRAFFIC,Brahmos Aerospace - 110m after Fire And Rescue Station,"Fire And Rescue, Chakkai",8.490633042,76.91354905,Veli - Perumathura road,8.488369245,76.92752723,111,OR,6,29
228,Pathanamthitta,ADOOR,210m after St Mary's Church - Mayooram Auditorium,Kilivayal,9.123242296,76.74207897,Main Central Road (SH 1),9.149580607,76.76185111,111,SH,9,25
229,Ernakulam,Kalady,HP Fuel Station - Kerala Gramin Bank,Kalady Junction,10.16499744,76.43949177,Main Central Road (SH 1),10.16694076,76.43543272,110,SH,2,34
230,Thiruvananthapuram,City Traffic,VJT Junction - Statue Junction,Statue,8.497666857,76.94844788,National Highway 66 (NH 66),8.502423831,76.94772718,110,NH,2,34
231,Kollam,Chavara PS,60m after Le Arabia - 100m before FKM Auditorium,Vettamukku,9.019524025,76.53868758,National Highway 66 (NH 66),9.012277076,76.53655355,110,NH,6,30
232,Alappuzha,Kayamkulam,Center,Oachira Premier Junction,9.137509138,76.51240421,National Highway 66 (NH 66),9.153130559,76.51281135,110,NH,5,30
233,Ernakulam,MUNAMBAM,HP Pump - Arya Bhangy Honda Showroom,DevaswomNada Junction,10.10308992,76.34951518,State Highway 63 (SH 63),10.10522098,76.35112705,109,SH,1,35
234,Thiruvananthapuram,Pettah,Pettah Railway Station Junction - Indian Oil Petrol Pump,Naalumukku,8.496922211,76.9338389,Palayam - Airport Rd,8.495178393,76.93092822,109,OR,4,31
235,Ernakulam,ANGAMALI,80m before Karukutty Junction - Maxx Inn M Star Hotels,Karukutty Junction,10.22341643,76.37569018,National Highway 544 (NH - 544),10.20048173,76.38382736,109,NH,8,27
236,Thiruvananthapuram,KAZHAKUTTOM,"KR Bakers - BSNL Telephone Exchange, Karyavattom",Ambalathinkkara,8.564709578,76.88318731,National Highway 66 (NH 66),8.568555267,76.87274339,109,NH,7,27
237,Ernakulam,CITY TRAFFIC EAST,ICICI Bank - St Mary's Church,North Kalamassery,10.05745764,76.32149761,National Highway 544 (NH - 544),10.05038024,76.31718523,108,NH,5,32
238,Alappuzha,HARIPPAD,IOC Pump - Harippad Government Boys High School,"Madhava Junction, Harippad",9.281457001,76.4562321,National Highway 66 (NH 66),9.28323494,76.44264534,108,NH,3,32
